"source","scenario (PRIMAP)","provenance","area (ISO3)","entity","unit","category (IPCC2006)","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Andrew_Cement","231016","measured","ABW","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andrew_Cement","231016","measured","AFG","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.17,18.01,21.81,29.07,50.88,61.78,83.59,87.22,65.42,47.1,50.88,47.35,43.23,46.43,67.11,70.3,69.42,79.24,64.86,57.6,63.67,23.28,32.88,39.08,6.45,47.96,31.65,37.56,43.33,42.94,42.5,45.77,45.77,45.77,46.99,46.99,46.99,47.4,47.4,47.4,47.4,10.22,6.538,11.03,9.807,9.807,6.211,12.18,11.61,15.24,12.87,14.55,14.59,28.93,35.55,28.64,41.19,76.13,44.78,56.88,38.33,60.67,16.34,16.34
"Andrew_Cement","231016","measured","AGO","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,14.54,21.58,36.34,43.61,65.42,83.59,76.32,79.42,76.94,83.33,94.49,105.4,119.9,130.8,138.1,152.3,189.2,221.5,261.4,308.7,381.6,374.0,323.5,147.3,145.6,189.6,187.4,113.2,115.2,113.7,99.17,156.8,154.7,152.8,150.8,421.7,416.4,106.7,106.6,122.8,102.2,97.93,81.48,109.8,122.3,141.9,83.82,81.26,221.5,239.5,279.6,300.0,521.1,539.0,542.1,684.7,693.2,578.4,764.9,1147.0,1557.0,1976.0,2030.0,1500.0,995.9,1038.0,957.1,1054.0,1201.0,1201.0
"Andrew_Cement","231016","measured","AIA","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andrew_Cement","231016","measured","ALB","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,3.634,7.269,0.0,0.0,0.0,7.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,7.269,7.198,7.269,7.269,21.81,32.71,36.34,39.98,36.34,36.34,58.06,58.15,65.42,61.78,72.56,69.15,109.0,149.0,163.5,178.3,178.4,196.9,255.7,278.4,322.6,349.1,375.0,401.9,424.3,502.9,396.1,419.3,423.7,435.6,432.6,429.6,438.1,378.8,386.8,383.7,307.5,102.7,102.8,51.5,103.2,104.9,51.76,43.55,55.05,93.64,0.0,0.0,302.4,300.2,256.5,275.8,467.8,483.9,585.0,837.7,976.5,1040.0,1129.0,1045.0,954.1,880.5,1011.0,927.6,927.6,1322.0,1312.0,1312.0
"Andrew_Cement","231016","measured","AND","CO2","CO2 * kt / year","2.A.1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andrew_Cement","231016","measured","ARE","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,96.1,595.1,602.7,806.2,797.4,1018.0,936.4,1796.0,1863.0,1201.0,1343.0,1405.0,1432.0,1360.0,1439.0,1562.0,1632.0,2025.0,2379.0,2393.0,2078.0,2775.0,2754.0,2358.0,2311.0,2599.0,2909.0,3204.0,3484.0,4588.0,5793.0,7835.0,6830.0,6453.0,5662.0,5216.0,5468.0,7160.0,7160.0,5903.0,6077.0,6007.0,5623.0,5204.0,5239.0,5239.0
"Andrew_Cement","231016","measured","ARG","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.3,174.4,189.0,265.3,247.1,254.5,279.8,356.3,410.7,512.3,614.3,556.0,534.4,577.9,530.7,472.3,534.2,537.9,563.3,672.5,617.8,716.0,777.7,770.5,766.8,817.7,843.1,923.1,1021.0,1170.0,1221.0,1170.0,1305.0,1436.0,1446.0,1254.0,1439.0,1632.0,1723.0,1756.0,2064.0,2148.0,2344.0,2736.0,2699.0,2570.0,2675.0,2714.0,2841.0,2987.0,3148.0,3327.0,3562.0,3323.0,2815.0,2818.0,2618.0,2325.0,2789.0,3169.0,3047.0,2253.0,1822.0,2196.0,2495.0,2761.0,3050.0,2621.0,2422.0,3169.0,3283.0,3290.0,2771.0,2481.0,1729.0,2280.0,2701.0,3241.0,3764.0,3998.0,3990.0,3810.0,4178.0,4586.0,4184.0,4581.0,4336.0,4571.0,4029.0,4362.0,4369.0,4141.0,3508.0,4671.0,5063.0
"Andrew_Cement","231016","measured","ARM","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.642,4.505,5.828,6.238,6.576,5.157,6.727,8.544,11.19,10.44,10.9,10.9,11.12,11.13,"","","",3.475,6.562,9.287,12.79,15.52,20.41,24.11,27.46,31.12,37.08,43.96,48.66,56.64,65.38,76.23,89.58,100.2,113.1,120.5,128.5,143.4,158.7,168.3,174.0,178.8,189.9,202.9,213.9,227.7,242.7,260.8,265.9,272.2,272.3,264.1,268.7,275.5,270.1,282.2,288.9,292.5,304.1,311.1,317.6,321.6,380.2,396.1,99.46,55.49,31.97,68.76,78.41,167.7,209.3,171.3,138.8,143.5,211.4,220.2,298.3,331.1,338.2,406.8,412.2,241.3,288.3,264.3,277.9,258.8,243.6,240.7,154.1,205.5,315.1,341.1,412.7,492.3,492.3
"Andrew_Cement","231016","measured","ATG","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andrew_Cement","231016","measured","AUS","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",378.0,356.2,348.9,196.3,123.6,159.9,207.2,276.2,323.5,363.4,178.1,338.0,348.8,341.6,279.8,196.2,218.1,348.9,363.4,443.4,508.8,530.6,632.4,610.6,672.3,788.7,944.9,984.9,1058.0,1148.0,1214.0,1294.0,1381.0,1414.0,1450.0,1541.0,1792.0,1879.0,1817.0,1890.0,1941.0,2130.0,2228.0,2314.0,2436.0,2591.0,2568.0,2473.0,2494.0,2474.0,2459.0,2581.0,2652.0,2954.0,2823.0,2377.0,2683.0,2891.0,2908.0,2878.0,3136.0,3380.0,3463.0,3183.0,2923.0,3005.0,3484.0,3358.0,3244.0,3185.0,3475.0,3520.0,3621.0,3541.0,3488.0,3584.0,3555.0,3664.0,3888.0,3972.0,3863.0,3829.0,3549.0,3496.0,3518.0,3294.0,3138.0,3076.0,2931.0,3019.0,2942.0,3040.0,2820.0,2900.0,2900.0
"Andrew_Cement","231016","measured","AUT","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",258.1,287.1,298.0,149.0,174.4,138.1,152.6,181.7,181.7,210.8,320.0,366.9,403.4,417.8,338.0,381.6,0.0,0.0,192.7,138.1,356.2,537.9,636.0,730.6,686.9,690.5,803.2,919.5,955.9,1054.0,1065.0,1196.0,1399.0,1523.0,1512.0,1635.0,1865.0,1999.0,2224.0,2246.0,2250.0,2253.0,2377.0,2693.0,3086.0,3018.0,3078.0,2672.0,2768.0,2628.0,2721.0,2573.0,2480.0,2382.0,2240.0,2171.0,2148.0,1982.0,1967.0,1930.0,2015.0,1990.0,2033.0,2005.0,2105.0,2032.0,2102.0,1631.0,1634.0,1761.0,1599.0,1607.0,1712.0,1720.0,1736.0,1754.0,1790.0,1797.0,1954.0,2131.0,2133.0,1799.0,1622.0,1666.0,1673.0,1656.0,1639.0,1701.0,1729.0,1710.0,1827.0,1771.0,1821.0,1889.0,1889.0
"Andrew_Cement","231016","measured","AZE","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7.351,9.093,11.76,12.59,13.27,10.41,13.58,17.25,22.59,21.07,22.01,22.01,22.44,22.47,"","","",7.015,13.25,18.75,25.81,31.32,41.19,48.66,55.43,62.83,74.85,88.73,98.23,114.3,132.0,153.9,180.8,202.3,228.3,243.3,259.3,289.4,320.3,339.8,351.3,360.9,383.3,403.5,419.1,439.7,461.9,489.2,491.5,496.0,489.0,467.5,468.8,473.9,458.1,471.8,476.2,475.3,487.3,491.5,494.9,494.1,478.0,466.9,379.0,294.1,236.6,102.5,120.3,175.1,115.0,104.2,121.0,303.7,471.7,538.5,724.1,742.5,783.1,817.2,770.0,620.8,617.4,465.1,658.1,721.8,924.5,843.4,726.2,928.9,1083.0,1096.0,1018.0,1081.0,1081.0
"Andrew_Cement","231016","measured","BDI","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.966,2.542,2.542
"Andrew_Cement","231016","measured","BEL","CO2","CO2 * kt / year","2.A.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1505.0,1606.0,1508.0,1218.0,1039.0,963.1,937.6,1087.0,1163.0,1486.0,1508.0,1261.0,105.4,312.5,250.8,229.0,298.0,319.8,934.0,1290.0,1646.0,1446.0,1759.0,2173.0,2032.0,2286.0,2162.0,2319.0,2304.0,2326.0,2006.0,2195.0,2170.0,2351.0,2366.0,2326.0,2889.0,2918.0,2864.0,2875.0,2838.0,3100.0,3325.0,3397.0,3442.0,3390.0,3563.0,3252.0,3515.0,3602.0,3480.0,3508.0,3372.0,2988.0,2796.0,2505.0,2473.0,2376.0,2446.0,2393.0,2683.0,2768.0,2824.0,2880.0,3089.0,3082.0,3179.0,3255.0,3009.0,3162.0,3175.0,3113.0,3270.0,2957.0,2993.0,2933.0,2837.0,2934.0,3112.0,3087.0,3033.0,2795.0,2582.0,2762.0,2643.0,2541.0,2643.0,2348.0,2436.0,2291.0,2534.0,2819.0,2634.0,2659.0,2659.0
